message_number,forum,subject,datetime,timezone,username,message_content
0,Commotion-admin, New commotion-admin list created,"Tue, 17 Jul 2012 14:55:36 -0400",-0400,Jordan McCarthy,
1,Commotion-admin, New commotion-admin list created,"Tue, 17 Jul 2012 17:38:05 -0400",-0400,Jordan McCarthy,
2,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Thu, 19 Jul 2012 17:21:15 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/3e04bb1f0122dbcb1a69f8754387e0efb1ed99f1


"
3,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Fri, 20 Jul 2012 02:41:29 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/2594247d007b7be473ab912ea9232c204087317e


"
4,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Mon, 23 Jul 2012 03:50:57 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/8b3b5818715704b5ce49c0b7dc5c8b16e4fd5caa


"
5,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Mon, 23 Jul 2012 03:53:49 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/9f4606c273cfd67be65ce56c952c42c443a34f4c


"
6,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Sat, 28 Jul 2012 17:08:15 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/4468cd5d41dc037f1b43ce79cc2c401191a6d949






"
7,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Wed, 01 Aug 2012 16:24:04 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/ad82d8e2261f314c0fe89f9bf616e6f232a0def4


"
8,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Tue, 07 Aug 2012 10:51:04 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/ab4ae2cc1c6cde57d587318d8e85d41fda00ba4e


"
9,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Tue, 14 Aug 2012 17:26:55 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/74b6870f76d276749ae229593cbaffac446592c1


"
10,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Thu, 16 Aug 2012 16:12:25 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/024f272430cf9f57523127337e1a37d8e1d1073b


"
11,Commotion-admin, Your Commotion Wireless Project account,"Thu, 16 Aug 2012 15:38:07 -0400",-0400,Michael Gregor,"Hi, can you please give me permission to edit wikis?

Thanks!

Michael


On ago 16, 2012, at 2:31 p.m., commotion-admin at lists.chambana.net wrote:

> Your account has been activated. You can now log in.
> 
> Sign in: https://code.commotionwireless.net/login
> 
> You have received this notification because you have either subscribed to it, or are involved in it.
> To change your notification preferences, please click here: http://code.commotionwireless.net/my/account
> 



- - - -
Michael Gregor
Digital Strategy Consultant
313.437.1244 (office)
theworkdept.com


This email message and any attached files are confidential and are intended solely for the use of the addressee(s) named above. If you are not the intended recipient, any review, use, dissemination, forwarding, printing, copying, or other distribution of this email message and any attached files is strictly prohibited.

"
12,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Wed, 05 Sep 2012 20:18:25 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/a7d9d47d0eb1ac5f92811b7fc97127555bcc3d11


"
13,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Sat, 15 Sep 2012 13:35:28 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/e3f58fe1d3be4ac6fbbcb5aacf99572ff6727209


"
14,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Sat, 15 Sep 2012 17:13:29 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/3945de759e44891ef505ba18ad45b6ebb10effa6


"
15,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Thu, 20 Sep 2012 06:25:03 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/ae34f2a25ee8c42dd0241e4cc5709db8f1bdd404


"
16,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Wed, 26 Sep 2012 20:59:08 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/aaa9a6f7d1279ec5b12d815cb4b4e4188d1f5518






"
17,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Wed, 03 Oct 2012 14:16:53 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/4d7481a9ce72211da2b05a0bfb572cd2e77f8c21


"
18,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Sat, 06 Oct 2012 11:26:22 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/719679ebd26590f97951b297447c1ae0718d0524

"
19,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Tue, 09 Oct 2012 13:33:37 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/672e7b1a1873a60bd8bf7de5e967e3bcb45b7a05

"
20,Commotion-admin, Welcome to Gravatar,"Wed, 10 Oct 2012 20:32:38 +0000",+0000,Gravatar,"Welcome to Gravatar!

To activate your account, simply click on the link below or paste into the url field on your favorite browser:

http://en.gravatar.com/accounts/activate/commotion-admin%40lists.chambana.net/8e9b4f3869 

The activation link will only be good for 2 weeks, after that you will have to try again from the beginning. When you visit the above page, you'll be able to set your password and create as many gravatars as you like, all for free!

If you have any questions about the system, feel free to contact us anytime at support at gravatar.com.

The Gravatar Team,
An Automattic joint.


"
21,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Sat, 13 Oct 2012 03:43:22 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/97208a2c9f6e7df99facc7cbffa97ddc31df9e0a

"
22,Commotion-admin, Your message to Chambana-rooters awaits moderator,"Tue, 16 Oct 2012 12:33:36 +0000",+0000,chambana-rooters-bounces at lists.chambana.net,"Your mail to 'Chambana-rooters' with the subject

    Commotion Wireless Project account activation request

Is being held until the list moderator can review it for approval.

The reason it is being held:

    Too many recipients to the message

Either the message will get posted to the list, or you will receive
notification of the moderator's decision.  If you would like to cancel
this posting, please visit the following URL:

    http://lists.chambana.net/mailman/confirm/chambana-rooters/661fc4be885647c40afdda0ceec14420e3b4c6c8


"
