message_number,forum,subject,datetime,timezone,username,message_content
0,Commotion-announce, Commotion source now available via git daemon,"Tue, 20 Sep 2011 11:42:19 -0400",-0400,Brian Duggan,
1,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 12:55:18 -0500",-0500,Ben West,"I'm behind some pretty sketchy wifi in Detroit right now, which may be the
cause, but I've so far been unable to check out the repo...

bash#~/commotion$ git clone git://git.chambana.net/commotion-openwrt
Initialized empty Git repository in
/blah/blah/blah/commotion/commotion-openwrt/.git/
fatal: The remote end hung up unexpectedly

Anyone else having the same problem?

On Tue, Sep 20, 2011 at 10:42 AM, Brian Duggan <duggan at newamerica.net>wrote:

> "
2,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 13:56:40 -0400",-0400,Josh King,"Hi Ben,

We recently pushed a bunch of updates to the development site, and 
that's resulted in a few issues with the repository handling. Brian's 
working on it and should have it fixed in a bit.

On Thu 29 Sep 2011 01:55:18 PM EDT, Ben West wrote:
> I'm behind some pretty sketchy wifi in Detroit right now, which may be the
> cause, but I've so far been unable to check out the repo...
>
> bash#~/commotion$ git clone git://git.chambana.net/commotion-openwrt
> Initialized empty Git repository in
> /blah/blah/blah/commotion/commotion-openwrt/.git/
> fatal: The remote end hung up unexpectedly
>
> Anyone else having the same problem?
>
> On Tue, Sep 20, 2011 at 10:42 AM, Brian Duggan <duggan at newamerica.net>wrote:
>
"
3,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 13:05:12 -0500",-0500,Chris Ritzo,"Ben,
FYi Pulling a public clone worked for me a couple days ago.
-Chris

On Thu, Sep 29, 2011 at 12:56 PM, Josh King <joshking at newamerica.net> wrote:

> Hi Ben,
>
> We recently pushed a bunch of updates to the development site, and
> that's resulted in a few issues with the repository handling. Brian's
> working on it and should have it fixed in a bit.
>
> On Thu 29 Sep 2011 01:55:18 PM EDT, Ben West wrote:
> > I'm behind some pretty sketchy wifi in Detroit right now, which may be
> the
> > cause, but I've so far been unable to check out the repo...
> >
> > bash#~/commotion$ git clone git://git.chambana.net/commotion-openwrt
> > Initialized empty Git repository in
> > /blah/blah/blah/commotion/commotion-openwrt/.git/
> > fatal: The remote end hung up unexpectedly
> >
> > Anyone else having the same problem?
> >
> > On Tue, Sep 20, 2011 at 10:42 AM, Brian Duggan <duggan at newamerica.net
> >wrote:
> >
> "
4,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 14:07:05 -0400",-0400,Josh King,"Yeah, this was pretty recent. It was fixed, and then while we were 
trying to fix some other stuff and push general upgrades it broke again 
today. So it'll be working again soon. I'm also nearly finished setting 
up a completely new server that will be a lot more reliable and 
up-to-date.

On Thu 29 Sep 2011 02:05:12 PM EDT, Chris Ritzo wrote:
> Ben,
> FYi Pulling a public clone worked for me a couple days ago.
> -Chris
>
> On Thu, Sep 29, 2011 at 12:56 PM, Josh King <joshking at newamerica.net> wrote:
>
"
5,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 14:07:44 -0400",-0400,Brian Duggan,"Hi all,

Apologies for the confusion. Apparently, git-daemon had been working 
until we upgraded to gitolite as our access control method. gitolite 
decided it should have complete control over whether something was 
served via git-daemon, so nothing is currently available publicly. I 
should have it resolved in a few minutes.

Thanks,
Brian

On Thu Sep 29 14:05:12 2011, Chris Ritzo wrote:
> Ben,
> FYi Pulling a public clone worked for me a couple days ago.
> -Chris
>
> On Thu, Sep 29, 2011 at 12:56 PM, Josh King <joshking at newamerica.net
> <mailto:joshking at newamerica.net"
6,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 14:18:11 -0400",-0400,Brian Duggan,"commotion-openwrt is publicly available again. Sorry for the hiccup.

Brian

On Thu Sep 29 14:08:55 2011, Andrew Reynolds wrote:
> Strange. I got the same error as Ben on commotion-openwrt, but I was
> able to check out commotion.
>
> -andrew
>
> On 09/29/2011 02:07 PM, Brian Duggan wrote:
"
7,Commotion-announce, [Commotion-dev] Commotion source now,"Thu, 29 Sep 2011 18:09:11 -0000",-0000,Andrew Reynolds,"Strange. I got the same error as Ben on commotion-openwrt, but I was
able to check out commotion.

-andrew

On 09/29/2011 02:07 PM, Brian Duggan wrote:
> Hi all,
> 
> Apologies for the confusion. Apparently, git-daemon had been working 
> until we upgraded to gitolite as our access control method. gitolite 
> decided it should have complete control over whether something was 
> served via git-daemon, so nothing is currently available publicly. I 
> should have it resolved in a few minutes.
> 
> Thanks,
> Brian
> 
> On Thu Sep 29 14:05:12 2011, Chris Ritzo wrote:
"
8,Commotion-announce, Commotion Project Site,"Tue, 04 Oct 2011 11:32:03 -0400",-0400,Andrew Reynolds,"In keeping with our commitment to make Commotion as user friendly as
possible, OTI staffers have launched a new website focused on
non-technical Commotion content.

The new site, http://commotionwireless.net, is geared toward
journalists, end users, and those who don't need to wade through the
deeper technical details. The original project site,
https://tech.chambana.net/projects/commotion, is for developers and
other project contributors, who need to know the inner workings of the
software.

By separating the technical and non-technical content, we will be able
to tailor each site to the needs of its users, making each more useful
in the process. We will be overhauling the content and navigation of
both sites in the coming weeks, and welcome questions, comments, and
feedback.

Andrew Reynolds
Open Technology Initiative
New America Foundation


"
9,Commotion-announce, Commotion Developer Release 1 is ready for,"Wed, 13 Mar 2013 19:33:51 -0400",-0400,seamus tuohy,"Commotion's first developer release (DR1) is now available for testing. 
This version replaces our September 2012 pre-release (PR3) and adds 
several new features. Though Commotion developers tested each component 
feature, we will begin extensive pre-release testing of the entire DR1 
suite in the coming weeks. We hope you will join us in testing the new 
components.

Pre-built Commotion packages for Ubiquiti routers and Android devices 
can be found at https://commotionwireless.net/download, with DR1 listed 
under Nightly Builds and PR3 listed as Stable. The download page also 
provides links to the Commotion source code for those who wish to build 
their own packages. We have pre-built images for testing on Ubiquiti 
wireless hardware. The source code includes instructions for building 
Commotion?s test release on other hardware for those that wish to test 
on their own devices.

The DR1 release brings a complete overhaul to the Commotion system while 
still ensuring compatibility with PR3 release Commotion nodes. 
Forward-facing features include a new theme, easy ""quickstart"" node 
configuration, application announcement and discovery, and a one-click 
troubleshooting tool. Behind the scenes, DR1 contains a core Commotion 
daemon and new cryptographic system.

The quickstart tool provides an easy interface for node configuration. 
The Commotion daemon provides a common mesh network management interface 
through an embedded library, and forms the core of future Commotion 
platform development. Commotion's new application suite uses mDNS to 
announce local applications across the network. Users can find local 
applications using the router?s web-based application portal. Node 
owners can easily manage and customize application portals for better 
community application support. The application portal integrates the 
Serval Project's key management daemon, which provides transparent 
message encryption and authentication. Finally, the debugging helper 
creates custom, downloadable documents for offline debugging by network 
administrators.

Each of these tools still requires thorough testing to ensure they are 
both stable and well documented. If you are an interested user, 
developer, hacker, or are just plain interested, we would love to hear 
your feedback. Following initial internal testing, DR1 will undergo lab 
testing on an eight-node physical test environment. Then we will install 
on the Open Technology Institute?s (OTI's) 18-node testbed community 
network. Once the software is deemed stable, we will deploy it on an 
active six-node community wireless network for user testing.

We will update the documentation to incorporate user feedback once 
testing is completed. After the build has been thoroughly tested and DR1 
has become stable, we will update the warning label on the downloads 
page to reflect the capabilities and limitations of this release. We 
will then bring the other Commotion platforms up to feature parity with 
the DR1 Commotion OpenWRT release.




"
