message_number,forum,subject,datetime,timezone,username,message_content
0,Commotion-discuss, Broader Project Agenda Setting,"Fri, 4 Feb 2011 14:34:28 -0500",-0500,Preston Rhea,"Hello all,

I have created a Google Doc to frame the total project, not just the
technical layers (like the commotion software).

Find it here:
https://docs.google.com/document/d/1K-jevvf1ZIrXHJmGvaeKce9eYrFkWe8Ay3LMMavdsHM/edit?hl=en&authkey=CNWLluIIand
request me for editing privileges.

These are just the initial questions I came up with; please ask more, edit
those which have been asked, and answer outstanding questions.

Cheers,

Preston

-- 
Preston Rhea
Research Associate, Open Technology Initiative
New America Foundation
+1-202-570-9770 <http://prestonrhea.org/>
"
1,Commotion-discuss, Broader Project Agenda Setting,"Fri, 4 Feb 2011 14:57:56 -0600",-0600,Erich Heine,"Is there any good reason not to put this on the commotion wiki at
tech.chambana.net instead?

Regards,
Erich

On Fri, Feb 4, 2011 at 1:34 PM, Preston Rhea <rhea at newamerica.net> wrote:

> Hello all,
>
> I have created a Google Doc to frame the total project, not just the
> technical layers (like the commotion software).
>
> Find it here:
> https://docs.google.com/document/d/1K-jevvf1ZIrXHJmGvaeKce9eYrFkWe8Ay3LMMavdsHM/edit?hl=en&authkey=CNWLluIIand request me for editing privileges.
>
> These are just the initial questions I came up with; please ask more, edit
> those which have been asked, and answer outstanding questions.
>
> Cheers,
>
> Preston
>
> --
> Preston Rhea
> Research Associate, Open Technology Initiative
> New America Foundation
> +1-202-570-9770 <http://prestonrhea.org/>
>
>
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> http://lists.chambana.net/mailman/listinfo/commotion-discuss
>
>
"
2,Commotion-discuss, Broader Project Agenda Setting,"Fri, 04 Feb 2011 15:58:17 -0500",-0500,Dan Meredith,"Heya Preston,

On 02/04/2011 02:34 PM, Preston Rhea wrote:
> Hello all,
> 
> I have created a Google Doc to frame the total project, not just the
> technical layers (like the commotion software).
> 
> Find it
> here: https://docs.google.com/document/d/1K-jevvf1ZIrXHJmGvaeKce9eYrFkWe8Ay3LMMavdsHM/edit?hl=en&authkey=CNWLluII
> <https://docs.google.com/document/d/1K-jevvf1ZIrXHJmGvaeKce9eYrFkWe8Ay3LMMavdsHM/edit?hl=en&authkey=CNWLluII>
> and request me for editing privileges.
> 
This looks awesome, thanks for putting this together.  I especially like
the ""Identify the practices for"" with the 6 types of deployment
situations and the questions around determining how to establish the
project layers.

FYI, it looks like you've set it to be public rather than a request for
editing privileges.

Cheers,
--
Dan

> These are just the initial questions I came up with; please ask more,
> edit those which have been asked, and answer outstanding questions.
> 
> Cheers,
> 
> Preston
> 
> -- 
> Preston Rhea
> Research Associate, Open Technology Initiative
> New America Foundation
> +1-202-570-9770<http://prestonrhea.org/>
> 
> 
> 
> _______________________________________________
> Commotion-discuss mailing list
> Commotion-discuss at lists.chambana.net
> http://lists.chambana.net/mailman/listinfo/commotion-discuss

-- 
Dan Meredith
Technologist
New America Foundation
Open Technology Initiative
"
3,Commotion-discuss, Broader Project Agenda Setting,"Fri, 4 Feb 2011 16:12:12 -0500",-0500,Preston Rhea,"Hello all,

I transferred the Google Doc into the project wiki, at this page:
http://tech.chambana.net/projects/commotion/wiki/Project_Definition_Discussion__Questions

<http://tech.chambana.net/projects/commotion/wiki/Project_Definition_Discussion__Questions>I
will delete the Google Doc, so all discussion can be centralized on the
wiki.

Preston

On Fri, Feb 4, 2011 at 3:58 PM, Dan Meredith <meredith at newamerica.net>wrote:

> Heya Preston,
>
> On 02/04/2011 02:34 PM, Preston Rhea wrote:
> > Hello all,
> >
> > I have created a Google Doc to frame the total project, not just the
> > technical layers (like the commotion software).
> >
> > Find it
> > here:
> https://docs.google.com/document/d/1K-jevvf1ZIrXHJmGvaeKce9eYrFkWe8Ay3LMMavdsHM/edit?hl=en&authkey=CNWLluII
> > <
> https://docs.google.com/document/d/1K-jevvf1ZIrXHJmGvaeKce9eYrFkWe8Ay3LMMavdsHM/edit?hl=en&authkey=CNWLluII
> >
> > and request me for editing privileges.
> >
> This looks awesome, thanks for putting this together.  I especially like
> the ""Identify the practices for"" with the 6 types of deployment
> situations and the questions around determining how to establish the
> project layers.
>
> FYI, it looks like you've set it to be public rather than a request for
> editing privileges.
>
> Cheers,
> --
> Dan
>
> > These are just the initial questions I came up with; please ask more,
> > edit those which have been asked, and answer outstanding questions.
> >
> > Cheers,
> >
> > Preston
> >
> > --
> > Preston Rhea
> > Research Associate, Open Technology Initiative
> > New America Foundation
> > +1-202-570-9770 <tel:+12025709770><http://prestonrhea.org/>
> >
> >
> >
> > _______________________________________________
> > Commotion-discuss mailing list
> > Commotion-discuss at lists.chambana.net
> > http://lists.chambana.net/mailman/listinfo/commotion-discuss
>
> --
> Dan Meredith
> Technologist
> New America Foundation
> Open Technology Initiative
"
4,Commotion-discuss, Broader Project Agenda Setting,"Fri, 4 Feb 2011 15:53:13 -0600",-0600,Erich Heine,"Preston,

This is a great start! As this gets fleshed out a bit, and answers for this
start getting filled in I think there would be a good bit of info that could
be gleaned from here into nice wiki documents.

Im going to start filling in answers inline following a pattern that
hopefully others will follow too, so we can both discuss and converge on
answers simultaneously :)

Regards,
Erich

On Fri, Feb 4, 2011 at 3:12 PM, Preston Rhea <rhea at newamerica.net> wrote:

> Hello all,
>
> I transferred the Google Doc into the project wiki, at this page:
> http://tech.chambana.net/projects/commotion/wiki/Project_Definition_Discussion__Questions
>
>
> <http://tech.chambana.net/projects/commotion/wiki/Project_Definition_Discussion__Questions>I
> will delete the Google Doc, so all discussion can be centralized on the
> wiki.
>
> Preston
>
>
> On Fri, Feb 4, 2011 at 3:58 PM, Dan Meredith <meredith at newamerica.net>wrote:
>
"
5,Commotion-discuss, New here,"Fri, 2 Sep 2011 00:19:58 +0530",+0530,Yann Forget,"2011/9/1 F L <legendre at tik.ee.ethz.ch>:
> Hi Yann,
> Since you're in India, are you aware of?http://drupal.airjaldi.com/

Yes, I wrote to them.

> Cheers,
> --
> Franck

Regards,

Yann
"
6,Commotion-discuss, New here,"Thu, 1 Sep 2011 20:59:31 +0200",+0200,L. Aaron Kaplan,"
On Sep 1, 2011, at 8:49 PM, Yann Forget wrote:

> 2011/9/1 F L <legendre at tik.ee.ethz.ch>:
"
7,Commotion-discuss, Introducing myself.,"Fri, 2 Sep 2011 12:10:42 -0400",-0400,Merouan Mekouar,"Hi everyone,

My name is Merouan, I am a PhD student in Political Science at McGill
University - Montr?al. I also heard about commotion through the french
website lemonde.fr and I immediately fell in love with the project!!

I am currently doing my research on the concept of ""informational cascades""
or why random instances of street protest spiral in some cases and not
others (for instance, I am trying to understand why would the
self-immolation of a street vendor trigger massive protests in Tunisia and
not elsewhere in the Arab world). Nothing tech related as you can see but I
do speak/write Arabic and French fluently and would be very very happy to
help with translations or anything else if need be.

Again, I would like to congratulate all those working on the project. Coming
from the Arab world, I can only testify on the importance of a free (and
secure) access to the internet for the defence of individual freedoms.

Cheers!

Merouan
"
8,Commotion-discuss, Commotion source now available via git daemon,"Tue, 20 Sep 2011 11:42:19 -0400",-0400,Brian Duggan,
9,Commotion-discuss, New here & International Development,"Thu, 29 Sep 2011 17:38:25 +0100",+0100,laurence bascle,"Hi there,

better late than never!
I also discovered Commotion via Le Monde's article (so this is almost a
french speaker thread! ;), and currently working in the non-profit/human
rights sector, I was obviously thrilled.
I am Technical Project Manager though not a dev myself, and as such tend to
think more of the gap between developers and users/potential stakeholders. I
believe it would be great to get more plain language documentation (as
accessible say, as the so-successful-LeMonde-article) to promote the concept
and the progress of the project to potential community/institutional users.
Because the people who will use it are ultimately not devs, but say
emergency field workers and Human Rights Defenders (HRDs)! This in turn
might totally influence your roadmap (and if you have some vague idea to
service the 'third sector', then better develop something fits their need).

I have seen this wiki entry which is a great start I think
https://tech.chambana.net/projects/commotion/wiki/Newbie_How_it_Works
but as a non-dev there are still a few things I am struggling to understand:

1)  what are the USPs (Unique Selling Points) of this project compared to
other open source wireless mesh networks initiatives already used (like OLPC
http://en.wikipedia.org/wiki/OLPC_XO-1#Wireless_mesh_networking. Oh actually
just reading that ""Although one goal of the laptop is that all of its
software be open source <http://en.wikipedia.org/wiki/Open_source>, the
source code for this routing protocol is currently closed source"" booh!). I
understand one is the integration with TOR, but any others?

2) how is the access to the internet addressed, and bandwidth in particular
(access to a wider network for HRDs for example is strategically crucial).
It would be good to have a non-tech version of why/how 100s can access the
internet through the one point/computer and what kind of speed they can
expect.

3) Commotion routers and their role, and access from say deep Rural Northern
Uganda.

Ok, that's a lot to address, but hopefully there will be a few people out
there who are able to answer! I'd suggest best done via the wiki, and then
send us a link,
thanks!

PS: wasn't chambana down yesterday?

Laurence


On Fri, Sep 2, 2011 at 6:00 PM, <
commotion-discuss-request at lists.chambana.net> wrote:

> Send Commotion-discuss mailing list submissions to
>        commotion-discuss at lists.chambana.net
>
> To subscribe or unsubscribe via the World Wide Web, visit
>        http://lists.chambana.net/mailman/listinfo/commotion-discuss
> or, via email, send a message with subject or body 'help' to
>        commotion-discuss-request at lists.chambana.net
>
> You can reach the person managing the list at
>        commotion-discuss-owner at lists.chambana.net
>
> When replying, please edit your Subject line so it is more specific
> than ""Re: Contents of Commotion-discuss digest...""
>
>
> Today's Topics:
>
>   1. Re: New here (Yann Forget)
>   2. Re: New here (L. Aaron Kaplan)
>   3. Introducing myself. (Merouan Mekouar)
>
>
> "
